                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4181,                0.79292,                 1.1277,                0.74177,                0.59949,                 0.6716,                0.39953,                 1.3289,                 1.3395,                 1.3702,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.4188,                0.78264,                 1.1245,                0.70995,                0.62766,                0.67622,                0.40579,                 1.3662,                 1.3806,                 1.3966,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.4099,                0.78766,                  1.119,                0.74528,                0.59543,                0.67001,                0.39739,                 1.3738,                 1.3851,                 1.4095,               0.009307,               0.009307,               0.009307
                     38,                 1.3867,                0.76585,                 1.1045,                0.69766,                0.64399,                0.68093,                0.40939,                  1.356,                 1.3749,                 1.3993,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.3911,                0.75707,                 1.1124,                 0.7264,                0.65271,                0.69318,                0.41479,                  1.339,                 1.3154,                 1.3833,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.3823,                0.76312,                  1.106,                 0.7231,                0.60883,                0.68789,                0.40926,                 1.3605,                 1.3426,                 1.4037,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.3811,                0.75483,                 1.1089,                0.74251,                0.61741,                0.68701,                0.41572,                 1.3311,                 1.2809,                 1.3859,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.3749,                0.75059,                 1.1005,                0.72191,                0.61557,                0.66256,                0.40041,                 1.3541,                 1.5362,                 1.4021,               0.009208,               0.009208,               0.009208
                     43,                 1.3715,                0.74599,                 1.0971,                0.74564,                 0.6367,                0.69836,                0.42029,                 1.3458,                 1.2337,                 1.3962,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.3675,                0.74037,                 1.1013,                0.74984,                0.62927,                0.69131,                0.42162,                  1.378,                 1.3218,                  1.422,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.3584,                0.73342,                 1.1007,                 0.7137,                0.60146,                0.65459,                0.38905,                 1.3839,                 1.6088,                 1.4226,              0.0091486,              0.0091486,              0.0091486
                     46,                  1.354,                0.73392,                 1.1007,                0.70416,                0.65082,                0.68743,                0.41564,                  1.367,                 1.2497,                 1.4108,              0.0091288,              0.0091288,              0.0091288
                     47,                 1.3468,                0.72374,                 1.0881,                0.72575,                  0.629,                0.67674,                0.41146,                 1.3535,                  1.416,                 1.4025,               0.009109,               0.009109,               0.009109
                     48,                 1.3359,                 0.7158,                 1.0889,                0.72855,                0.59533,                0.65731,                0.39508,                 1.3596,                 1.4359,                 1.4065,              0.0090892,              0.0090892,              0.0090892
                     49,                 1.3354,                0.71327,                 1.0892,                0.71421,                0.62738,                0.66385,                0.40252,                 1.3479,                 1.4701,                 1.3966,              0.0090694,              0.0090694,              0.0090694
                     50,                 1.3302,                0.70914,                 1.0828,                 0.7273,                 0.6097,                0.67826,                0.40534,                 1.3763,                 1.4768,                 1.4063,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.3289,                0.71212,                 1.0807,                0.74223,                0.61531,                0.68527,                0.40803,                 1.3539,                 1.3033,                 1.3838,              0.0090298,              0.0090298,              0.0090298
                     52,                 1.3273,                0.70501,                 1.0783,                0.76513,                0.60493,                0.69142,                0.41659,                 1.3602,                 1.3791,                 1.3996,                0.00901,                0.00901,                0.00901
                     53,                 1.3157,                0.69374,                  1.075,                 0.7471,                0.62762,                0.69332,                0.42211,                 1.3444,                  1.269,                 1.3933,              0.0089902,              0.0089902,              0.0089902
                     54,                 1.3103,                0.69875,                 1.0745,                0.69989,                0.66315,                0.69784,                0.41912,                 1.3316,                 1.2556,                 1.3841,              0.0089704,              0.0089704,              0.0089704
                     55,                 1.3147,                 0.6982,                 1.0774,                0.68117,                0.65205,                0.67447,                0.40947,                 1.3218,                 1.2304,                 1.3715,              0.0089506,              0.0089506,              0.0089506
                     56,                 1.2956,                0.68135,                 1.0718,                0.72786,                0.62803,                0.66734,                0.40639,                 1.3309,                 1.3706,                 1.3815,              0.0089308,              0.0089308,              0.0089308
                     57,                 1.2915,                0.67473,                 1.0626,                0.75329,                0.59689,                0.67077,                0.40847,                 1.3451,                  1.443,                  1.388,               0.008911,               0.008911,               0.008911
                     58,                 1.2903,                0.67982,                 1.0666,                0.74093,                0.60857,                0.67611,                 0.4111,                 1.3826,                  1.442,                 1.4262,              0.0088912,              0.0088912,              0.0088912
                     59,                 1.2865,                0.67397,                 1.0666,                0.71534,                0.62042,                 0.6742,                0.40356,                 1.3571,                 1.3826,                  1.396,              0.0088714,              0.0088714,              0.0088714
                     60,                 1.2781,                0.67191,                  1.061,                0.74895,                0.62405,                0.69813,                 0.4274,                 1.3466,                 1.3394,                 1.3865,              0.0088516,              0.0088516,              0.0088516
                     61,                 1.2813,                0.67357,                 1.0633,                0.68106,                0.62789,                0.67122,                0.41107,                 1.3835,                 1.3746,                 1.4309,              0.0088318,              0.0088318,              0.0088318
                     62,                 1.2719,                0.66486,                 1.0602,                0.77547,                0.62444,                0.70953,                0.42999,                 1.3782,                 1.2773,                 1.4328,               0.008812,               0.008812,               0.008812
                     63,                 1.2635,                0.65966,                  1.059,                0.71458,                0.63098,                0.68036,                0.41511,                  1.352,                  1.267,                 1.4096,              0.0087922,              0.0087922,              0.0087922
                     64,                 1.2572,                 0.6566,                 1.0611,                0.69475,                0.64918,                0.68732,                0.41856,                 1.3491,                 1.3257,                 1.4091,              0.0087724,              0.0087724,              0.0087724
                     65,                 1.2589,                0.65387,                 1.0555,                0.72156,                0.64039,                0.69799,                0.42458,                 1.3616,                 1.3032,                 1.4222,              0.0087526,              0.0087526,              0.0087526
                     66,                 1.2518,                0.64622,                 1.0538,                 0.7579,                0.62284,                0.69924,                0.42397,                 1.3314,                 1.1932,                 1.3952,              0.0087328,              0.0087328,              0.0087328
                     67,                 1.2468,                0.64975,                 1.0527,                0.70393,                0.63806,                0.68796,                0.42166,                 1.3687,                 1.3377,                 1.4286,               0.008713,               0.008713,               0.008713
                     68,                 1.2445,                0.64465,                 1.0443,                0.71455,                0.61225,                0.66917,                0.41216,                 1.3468,                 1.3533,                 1.4147,              0.0086932,              0.0086932,              0.0086932
                     69,                 1.2354,                0.63957,                 1.0491,                0.73251,                0.61194,                0.67193,                0.41143,                 1.3514,                 1.4061,                 1.4014,              0.0086734,              0.0086734,              0.0086734
                     70,                 1.2378,                0.63841,                 1.0388,                0.70163,                0.64929,                0.68169,                0.41304,                 1.3859,                 1.3143,                 1.4268,              0.0086536,              0.0086536,              0.0086536
                     71,                 1.2243,                0.63259,                  1.038,                0.74114,                 0.6162,                0.67725,                 0.4133,                 1.3467,                 1.3847,                 1.4069,              0.0086338,              0.0086338,              0.0086338
                     72,                 1.2198,                0.62474,                 1.0358,                0.72309,                0.61888,                0.67573,                0.41048,                 1.3743,                 1.3912,                 1.4308,               0.008614,               0.008614,               0.008614
                     73,                 1.2175,                0.62496,                 1.0407,                0.75585,                0.63472,                0.69631,                0.42411,                 1.3403,                 1.2182,                 1.4101,              0.0085942,              0.0085942,              0.0085942
                     74,                 1.2063,                0.61903,                 1.0341,                0.70943,                0.62439,                0.66121,                0.40103,                 1.3543,                 1.5487,                  1.415,              0.0085744,              0.0085744,              0.0085744
                     75,                 1.2061,                0.61771,                 1.0292,                0.69664,                0.62456,                0.66429,                 0.4039,                  1.366,                 1.3304,                 1.4319,              0.0085546,              0.0085546,              0.0085546
                     76,                 1.1944,                0.60895,                 1.0252,                0.72342,                0.62763,                0.67767,                0.41067,                 1.3801,                 1.4771,                 1.4369,              0.0085348,              0.0085348,              0.0085348
                     77,                 1.1967,                0.61146,                 1.0258,                0.67825,                0.63512,                0.66311,                0.40405,                 1.3742,                 1.3723,                  1.421,               0.008515,               0.008515,               0.008515
                     78,                 1.1902,                 0.6085,                 1.0221,                0.73349,                0.62684,                0.68379,                0.41738,                 1.3785,                 1.2271,                 1.4536,              0.0084952,              0.0084952,              0.0084952
                     79,                 1.1953,                0.61052,                 1.0192,                0.75767,                 0.6269,                0.69143,                0.42078,                 1.3663,                 1.2602,                  1.433,              0.0084754,              0.0084754,              0.0084754
                     80,                 1.1838,                0.60573,                  1.022,                 0.7416,                0.58321,                0.66446,                0.40446,                 1.3817,                 1.4253,                 1.4384,              0.0084556,              0.0084556,              0.0084556
                     81,                 1.1765,                0.59694,                 1.0193,                0.73147,                0.62612,                0.68329,                0.40667,                 1.3829,                 1.4072,                 1.4369,              0.0084358,              0.0084358,              0.0084358
                     82,                 1.1701,                0.59496,                 1.0098,                0.70683,                0.64085,                 0.6847,                0.41785,                  1.361,                 1.3252,                 1.4243,               0.008416,               0.008416,               0.008416
                     83,                 1.1754,                0.59827,                 1.0177,                0.76714,                0.58245,                0.67017,                0.40676,                 1.3669,                 1.4733,                 1.4242,              0.0083962,              0.0083962,              0.0083962
                     84,                 1.1676,                0.59101,                 1.0129,                0.72173,                0.63956,                0.69131,                0.42441,                 1.3785,                 1.3165,                 1.4424,              0.0083764,              0.0083764,              0.0083764
                     85,                  1.165,                0.58846,                  1.016,                0.75089,                0.61748,                0.67743,                0.41246,                 1.3876,                 1.3691,                 1.4515,              0.0083566,              0.0083566,              0.0083566
                     86,                 1.1584,                0.58597,                 1.0058,                0.70519,                0.65954,                0.69007,                0.42139,                  1.346,                 1.3048,                  1.419,              0.0083368,              0.0083368,              0.0083368
                     87,                 1.1484,                0.58261,                 1.0033,                0.76924,                0.57788,                 0.6645,                0.40698,                 1.3538,                 1.5199,                 1.4145,               0.008317,               0.008317,               0.008317
                     88,                 1.1502,                0.58243,                 1.0067,                0.74981,                0.60768,                0.66663,                0.40226,                   1.37,                 1.4202,                 1.4323,              0.0082972,              0.0082972,              0.0082972
                     89,                 1.1383,                0.57333,                 1.0074,                0.75934,                0.62763,                  0.695,                0.42277,                 1.3647,                 1.3523,                 1.4367,              0.0082774,              0.0082774,              0.0082774
                     90,                 1.1465,                0.57783,                 1.0034,                0.75045,                0.60875,                0.68185,                0.40761,                 1.3571,                 1.3616,                 1.4257,              0.0082576,              0.0082576,              0.0082576
                     91,                 1.1374,                0.57534,                 1.0077,                0.73993,                0.62269,                0.68771,                0.42135,                 1.3521,                 1.2714,                 1.4246,              0.0082378,              0.0082378,              0.0082378
                     92,                 1.1268,                 0.5626,                0.99669,                0.74571,                0.61599,                0.68027,                0.41053,                  1.366,                 1.3526,                 1.4339,               0.008218,               0.008218,               0.008218
                     93,                 1.1235,                 0.5663,                 1.0013,                0.73144,                0.63779,                0.68634,                0.41356,                  1.361,                 1.3021,                 1.4425,              0.0081982,              0.0081982,              0.0081982
