               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.065322,            0.070057,           0.0015808,              0.7235,              0.6248,             0.67836,             0.34967,            0.051487,            0.056343,           0.0057007,            0.009685,            0.009685,            0.009685
                  37,            0.065008,            0.070764,           0.0017167,             0.75708,             0.61219,             0.68456,             0.35302,            0.050851,            0.058902,           0.0053501,            0.009676,            0.009676,            0.009676
                  38,            0.064241,            0.070358,           0.0014609,             0.73128,             0.58464,              0.6486,             0.33406,            0.051078,            0.055947,           0.0053954,            0.009667,            0.009667,            0.009667
                  39,            0.064026,            0.070675,           0.0014385,             0.62264,             0.61276,             0.59695,             0.31012,            0.052298,              0.0548,           0.0062283,            0.009658,            0.009658,            0.009658
                  40,            0.065162,            0.069275,           0.0018499,             0.69167,             0.58803,             0.64409,             0.32529,            0.052536,            0.057872,           0.0050972,            0.009649,            0.009649,            0.009649
                  41,            0.064187,            0.068928,           0.0015458,             0.70133,             0.55437,             0.62293,             0.31668,            0.052562,            0.062169,           0.0053241,             0.00964,             0.00964,             0.00964
                  42,            0.064773,             0.06844,           0.0015118,             0.70685,             0.55918,             0.60776,             0.28863,            0.055069,            0.063682,           0.0051004,            0.009631,            0.009631,            0.009631
                  43,            0.064672,            0.070287,           0.0015122,             0.71655,             0.55817,             0.61816,             0.30658,            0.052633,             0.06043,           0.0048493,            0.009622,            0.009622,            0.009622
                  44,            0.063972,             0.06892,           0.0015845,             0.73464,             0.56702,             0.62988,             0.31556,            0.052442,            0.058484,           0.0045999,            0.009613,            0.009613,            0.009613
                  45,            0.063123,            0.069875,            0.001431,              0.6379,             0.56069,             0.57824,             0.26797,            0.059495,            0.063895,           0.0049596,            0.009604,            0.009604,            0.009604
                  46,            0.063946,            0.068942,           0.0015223,             0.74202,             0.60375,             0.65809,             0.35782,            0.050184,            0.057696,           0.0044255,            0.009595,            0.009595,            0.009595
                  47,            0.063857,            0.068793,           0.0014056,             0.73115,             0.58602,             0.65424,             0.33797,            0.052309,             0.06193,           0.0046513,            0.009586,            0.009586,            0.009586
                  48,            0.063884,            0.068082,            0.001538,             0.68788,             0.61708,             0.65344,             0.34707,            0.052014,            0.061293,           0.0059076,            0.009577,            0.009577,            0.009577
                  49,            0.063184,            0.068788,           0.0014218,             0.73612,             0.55323,             0.61947,             0.32409,             0.05358,            0.065681,           0.0065509,            0.009568,            0.009568,            0.009568
                  50,            0.062625,            0.067809,           0.0012615,             0.75908,             0.57819,             0.66383,              0.3539,            0.051518,             0.06263,           0.0047223,            0.009559,            0.009559,            0.009559
                  51,            0.063109,            0.068531,           0.0012656,             0.72144,             0.60236,             0.65495,             0.34998,            0.051957,            0.061808,           0.0045125,             0.00955,             0.00955,             0.00955
                  52,            0.062676,             0.06816,           0.0012511,             0.69502,             0.59242,             0.64348,             0.33803,            0.052826,            0.060162,            0.004758,            0.009541,            0.009541,            0.009541
                  53,            0.062259,            0.068405,            0.001188,             0.74019,             0.57308,             0.63881,             0.34072,            0.052482,             0.06508,           0.0054623,            0.009532,            0.009532,            0.009532
                  54,            0.062857,            0.068033,           0.0014226,             0.73887,             0.60062,               0.666,             0.35928,            0.050732,            0.059033,           0.0051913,            0.009523,            0.009523,            0.009523
                  55,            0.062874,            0.068312,           0.0013122,              0.7349,             0.60386,             0.65606,              0.3274,              0.0532,            0.063208,           0.0047379,            0.009514,            0.009514,            0.009514
                  56,            0.062515,            0.067448,           0.0012263,             0.70888,             0.60734,              0.6505,             0.33737,            0.051692,            0.063349,           0.0054177,            0.009505,            0.009505,            0.009505
                  57,            0.062027,            0.066186,           0.0012137,             0.70799,             0.58319,             0.64262,              0.3317,            0.053461,            0.067455,             0.00636,            0.009496,            0.009496,            0.009496
                  58,            0.062485,            0.066566,            0.001257,             0.71561,              0.5656,             0.62366,             0.33047,            0.052255,            0.068166,           0.0065721,            0.009487,            0.009487,            0.009487
                  59,            0.062773,            0.066185,           0.0013395,             0.68225,             0.60595,             0.63822,             0.31497,            0.054366,            0.059408,           0.0045343,            0.009478,            0.009478,            0.009478
                  60,            0.063282,            0.067894,           0.0013186,             0.70479,              0.6209,             0.67084,              0.3528,            0.051984,            0.057763,           0.0059403,            0.009469,            0.009469,            0.009469
                  61,            0.062063,            0.067638,            0.001274,             0.72103,             0.60871,             0.67625,             0.36228,            0.050435,            0.062195,           0.0062318,             0.00946,             0.00946,             0.00946
                  62,            0.061976,            0.065252,           0.0011593,             0.73176,             0.59063,             0.65728,             0.35172,            0.050789,            0.061192,           0.0062858,            0.009451,            0.009451,            0.009451
                  63,            0.061706,            0.066197,           0.0010831,             0.71727,             0.63262,             0.67245,             0.36224,            0.049056,            0.057426,           0.0062554,            0.009442,            0.009442,            0.009442
                  64,            0.061192,            0.066533,           0.0011557,             0.73806,             0.60768,             0.67231,             0.34846,            0.051408,            0.060638,            0.006053,            0.009433,            0.009433,            0.009433
                  65,             0.06237,            0.066771,           0.0011458,              0.7359,             0.63837,             0.70109,             0.37388,            0.050263,            0.057264,           0.0061668,            0.009424,            0.009424,            0.009424
                  66,            0.061141,             0.06601,           0.0011558,             0.73803,             0.61963,             0.67287,             0.34451,            0.050086,            0.059623,           0.0052885,            0.009415,            0.009415,            0.009415
                  67,            0.061046,            0.067155,           0.0011021,              0.7021,             0.57883,             0.63831,             0.34168,            0.051371,            0.067937,           0.0072258,            0.009406,            0.009406,            0.009406
                  68,            0.060793,            0.067055,           0.0010206,             0.72879,             0.64204,             0.69781,             0.37793,            0.049141,             0.06051,           0.0068464,            0.009397,            0.009397,            0.009397
                  69,            0.060758,            0.066867,          0.00096207,             0.75056,              0.6243,             0.69191,             0.36868,            0.049028,            0.058831,           0.0052995,            0.009388,            0.009388,            0.009388
                  70,            0.061905,             0.06551,           0.0010663,             0.74281,             0.59327,             0.66339,             0.35526,            0.052151,            0.067467,           0.0073651,            0.009379,            0.009379,            0.009379
                  71,            0.061171,            0.064981,           0.0011251,             0.73059,             0.62843,             0.68117,             0.36072,             0.04993,            0.057407,           0.0074282,             0.00937,             0.00937,             0.00937
                  72,             0.06103,            0.066462,           0.0010735,             0.74055,             0.63146,             0.69272,             0.36037,            0.050777,            0.058159,           0.0076298,            0.009361,            0.009361,            0.009361
                  73,            0.060433,            0.064569,           0.0010883,             0.74423,             0.64632,             0.69588,             0.36202,            0.050401,            0.058803,            0.004788,            0.009352,            0.009352,            0.009352
                  74,            0.061222,            0.064913,           0.0010414,             0.75747,             0.60372,             0.68207,             0.37371,            0.049873,            0.063911,           0.0063595,            0.009343,            0.009343,            0.009343
                  75,            0.060705,            0.065341,          0.00092917,             0.72515,             0.63552,             0.67829,             0.36312,            0.050401,            0.058981,           0.0071953,            0.009334,            0.009334,            0.009334
                  76,            0.060324,            0.065241,           0.0011668,             0.72274,             0.62846,             0.66734,             0.35476,            0.050116,            0.061031,           0.0066215,            0.009325,            0.009325,            0.009325
                  77,             0.06061,            0.065817,           0.0010609,              0.7464,             0.63756,             0.68835,             0.36674,            0.049059,            0.060161,           0.0057195,            0.009316,            0.009316,            0.009316
                  78,             0.06039,            0.064417,           0.0011011,             0.74667,             0.62402,               0.685,             0.36938,            0.049972,            0.058657,            0.005811,            0.009307,            0.009307,            0.009307
                  79,             0.05977,            0.063615,           0.0010353,             0.74707,             0.62583,             0.68004,             0.35945,            0.051198,            0.064416,           0.0053641,            0.009298,            0.009298,            0.009298
                  80,            0.060011,            0.064322,           0.0010519,             0.75228,             0.60611,             0.67864,             0.36746,            0.049593,            0.058842,           0.0048403,            0.009289,            0.009289,            0.009289
                  81,            0.060332,            0.064054,          0.00095049,             0.72975,             0.65556,             0.70059,             0.37513,            0.051743,            0.060395,           0.0057909,             0.00928,             0.00928,             0.00928
                  82,            0.060916,            0.064454,           0.0011533,             0.71159,             0.59608,             0.63618,             0.33553,            0.050935,            0.059325,            0.005052,            0.009271,            0.009271,            0.009271
                  83,            0.060337,            0.065868,           0.0011479,             0.74603,             0.64269,             0.68757,             0.37171,            0.050383,            0.059897,           0.0051896,            0.009262,            0.009262,            0.009262
                  84,            0.059775,            0.064897,          0.00099767,             0.74958,             0.63207,             0.69115,             0.37567,            0.049102,             0.06231,           0.0045224,            0.009253,            0.009253,            0.009253
                  85,            0.059721,            0.064247,          0.00092955,             0.71918,             0.59355,             0.62741,             0.34783,            0.049071,            0.062536,           0.0046068,            0.009244,            0.009244,            0.009244
                  86,            0.059928,            0.064675,          0.00098025,             0.77377,             0.64764,              0.7117,             0.38321,            0.048489,            0.057844,           0.0053034,            0.009235,            0.009235,            0.009235
                  87,            0.059781,            0.064264,           0.0010477,             0.73276,             0.61851,             0.67273,             0.36439,             0.04889,            0.059867,           0.0054678,            0.009226,            0.009226,            0.009226
