                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4636,                0.73989,                0.96787,                0.73312,                0.68471,                  0.728,                0.42413,                 1.3614,                0.93732,                 1.0977,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.4394,                0.72459,                0.96995,                0.72309,                0.69807,                0.73095,                0.42517,                 1.3379,                  0.942,                 1.0878,               0.009307,               0.009307,               0.009307
                     37,                 1.4407,                0.72158,                 0.9681,                 0.7513,                 0.6794,                0.72741,                0.42428,                 1.3497,                0.92214,                 1.0888,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.4246,                0.71487,                0.96562,                0.73814,                0.68521,                0.73333,                  0.426,                 1.3552,                0.95182,                 1.0972,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.4227,                0.71222,                0.95951,                0.73882,                0.65637,                0.71611,                 0.4127,                 1.3671,                 1.0309,                 1.1015,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.4223,                0.70667,                0.96204,                0.74715,                0.66263,                0.72336,                0.42036,                  1.368,                 0.9585,                 1.0942,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.4021,                0.69525,                0.95361,                0.74026,                0.67232,                0.72823,                0.42364,                 1.3583,                0.95357,                 1.0939,               0.009208,               0.009208,               0.009208
                     42,                 1.3942,                0.68994,                0.95737,                0.72508,                0.68824,                0.72524,                0.42182,                 1.3599,                0.97323,                 1.0942,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.3938,                0.68636,                0.95338,                0.71291,                0.67894,                0.71273,                0.41051,                 1.3722,                0.97583,                 1.1121,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.3863,                0.68214,                0.95562,                0.73505,                0.67643,                0.71817,                0.41739,                 1.3634,                0.93797,                 1.1009,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.3921,                0.68665,                0.95317,                0.73367,                0.69052,                 0.7308,                0.42582,                 1.3504,                0.93616,                  1.091,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.3528,                0.66823,                0.94573,                0.74134,                0.63034,                0.69101,                 0.4012,                 1.3718,                 1.1417,                 1.0987,               0.009109,               0.009109,               0.009109
                     47,                 1.3603,                0.66901,                0.93857,                0.72823,                 0.6878,                0.71729,                0.41711,                 1.3764,                0.96734,                 1.1059,              0.0090892,              0.0090892,              0.0090892
                     48,                  1.337,                 0.6562,                0.93873,                0.75641,                0.65881,                0.71823,                 0.4161,                 1.3758,                0.95254,                 1.1053,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.3374,                0.65341,                0.93995,                0.73034,                0.68132,                0.71998,                0.41693,                 1.3789,                0.96493,                 1.1115,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.3469,                0.65918,                0.94205,                0.72825,                0.67931,                 0.7104,                0.40839,                 1.3938,                 1.0325,                 1.1137,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.3359,                0.65057,                0.93868,                0.73436,                0.68212,                 0.7245,                0.42144,                 1.3655,                0.96051,                 1.1093,                0.00901,                0.00901,                0.00901
                     52,                 1.3296,                0.64591,                0.93438,                 0.7416,                0.67327,                0.72023,                0.41595,                 1.3818,                 1.0013,                 1.1129,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.2971,                0.63218,                0.92994,                0.74678,                0.67349,                0.72585,                0.41909,                 1.3822,                0.99791,                 1.1071,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.3017,                0.63225,                0.93199,                0.74311,                0.67346,                0.71738,                0.41659,                 1.3608,                 1.0423,                 1.1034,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.3054,                0.63268,                0.92939,                0.74821,                0.65032,                0.71304,                0.41764,                 1.3674,                0.99666,                 1.0961,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.2735,                0.61869,                0.92635,                0.73328,                0.67419,                0.72088,                0.42163,                 1.3758,                0.98309,                 1.1058,               0.008911,               0.008911,               0.008911
                     57,                 1.2954,                 0.6268,                0.92526,                0.75652,                0.67688,                0.73226,                0.42529,                 1.3719,                0.93303,                 1.1028,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.2817,                0.62289,                0.92237,                 0.7382,                0.68359,                0.72364,                0.42685,                 1.3585,                0.92358,                 1.1002,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.2683,                0.61112,                0.91981,                 0.7409,                 0.6852,                0.73301,                0.43548,                 1.3449,                0.97705,                 1.0995,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.2445,                0.60088,                0.91755,                0.74975,                0.66231,                0.71307,                0.41618,                 1.3637,                0.98121,                 1.1028,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.2571,                0.60614,                 0.9131,                0.74403,                0.68924,                0.72331,                 0.4186,                 1.3765,                0.96445,                 1.1065,               0.008812,               0.008812,               0.008812
                     62,                 1.2533,                0.60324,                0.91283,                0.72976,                0.66486,                0.71403,                0.41812,                 1.3857,                 1.0187,                 1.1151,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.2221,                0.58738,                0.91499,                 0.7299,                0.67208,                0.71768,                0.41907,                 1.3892,                 1.0392,                 1.1294,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.2458,                0.59881,                0.91225,                0.74089,                0.67269,                0.71875,                0.41846,                 1.3667,                0.99325,                 1.1074,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.2147,                0.58375,                0.90848,                0.73866,                0.65479,                0.70207,                0.41211,                 1.3775,                 1.0215,                 1.1088,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.2324,                0.59151,                0.90946,                0.75175,                0.65772,                0.71986,                 0.4204,                 1.3835,                0.98485,                 1.1191,               0.008713,               0.008713,               0.008713
                     67,                 1.2047,                0.57844,                0.90697,                0.74106,                0.66475,                0.71164,                0.41999,                 1.3797,                 1.0022,                 1.1254,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.2097,                 0.5822,                0.90481,                0.75101,                0.65173,                0.71147,                 0.4219,                 1.3749,                0.98349,                 1.1173,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.1858,                0.56409,                0.90213,                0.76441,                0.65192,                0.72212,                0.42381,                 1.3881,                0.95664,                 1.1196,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.1906,                0.56674,                0.90085,                0.73188,                 0.6849,                0.71918,                0.42009,                 1.3701,                 1.0171,                 1.1033,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.1907,                0.57024,                0.89935,                0.73714,                0.67681,                 0.7117,                0.41563,                 1.3842,                0.99995,                  1.122,               0.008614,               0.008614,               0.008614
                     72,                 1.1797,                0.56596,                0.89803,                0.74588,                0.65722,                0.71631,                 0.4178,                 1.3793,                 1.0329,                  1.118,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.1699,                0.55799,                0.89422,                0.74373,                0.67354,                0.72527,                0.42395,                 1.3882,                 1.0089,                 1.1321,              0.0085744,              0.0085744,              0.0085744
                     74,                  1.169,                0.55949,                0.89748,                0.72666,                0.67517,                0.71566,                0.42312,                 1.3798,                 0.9437,                 1.1321,              0.0085546,              0.0085546,              0.0085546
                     75,                  1.156,                0.55172,                 0.8911,                0.74782,                0.65119,                0.70205,                0.40633,                 1.3914,                0.97886,                 1.1335,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.1483,                0.54912,                0.89328,                0.74665,                0.66421,                0.71346,                0.41802,                 1.3845,                0.96826,                 1.1309,               0.008515,               0.008515,               0.008515
                     77,                  1.141,                 0.5409,                 0.8932,                0.73004,                0.67481,                0.70345,                0.40755,                 1.3856,                 0.9956,                 1.1308,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.1345,                0.54315,                0.88835,                0.73208,                0.65603,                0.68839,                0.40178,                 1.3834,                 1.0148,                 1.1258,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.1369,                0.54274,                 0.8853,                0.76777,                0.64356,                0.71114,                0.41581,                 1.3861,                0.95347,                 1.1279,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.1252,                0.53844,                0.88773,                0.72936,                0.67003,                0.70538,                0.40893,                 1.3961,                 1.0261,                 1.1287,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.1303,                0.53866,                0.88423,                0.71481,                0.66839,                0.69689,                  0.408,                 1.3883,                0.99351,                 1.1226,               0.008416,               0.008416,               0.008416
                     82,                 1.1056,                0.52572,                0.88563,                0.74276,                 0.6685,                0.70641,                0.41392,                 1.3822,                 1.0391,                 1.1292,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.1095,                0.52781,                0.88554,                0.74117,                0.66556,                 0.7034,                0.40876,                 1.3794,                 1.0244,                 1.1239,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.0985,                0.52382,                0.88273,                0.72646,                0.67058,                0.70705,                0.41277,                 1.3925,                 1.0244,                  1.138,              0.0083566,              0.0083566,              0.0083566
                     85,                 1.0945,                0.51991,                0.87978,                0.75892,                0.65323,                0.71235,                0.41772,                 1.3857,                 1.0171,                 1.1307,              0.0083368,              0.0083368,              0.0083368
                     86,                  1.101,                0.52457,                0.87911,                0.73067,                0.65542,                0.69336,                 0.4041,                 1.3801,                 1.1005,                 1.1298,               0.008317,               0.008317,               0.008317
                     87,                 1.0809,                0.51392,                0.87895,                0.75551,                0.64908,                0.70168,                0.40941,                 1.3927,                 1.0245,                 1.1373,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.0738,                0.50902,                0.87427,                0.76351,                0.64511,                0.70439,                0.41076,                 1.3946,                  1.038,                 1.1438,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.0863,                0.51337,                0.87965,                0.73874,                0.66622,                0.70108,                0.40924,                 1.3931,                 1.0564,                 1.1491,              0.0082576,              0.0082576,              0.0082576
                     90,                 1.0738,                0.51209,                0.87603,                0.75161,                0.65559,                 0.7116,                0.41708,                 1.4062,                 1.0026,                 1.1501,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.0697,                0.50703,                 0.8712,                0.76012,                0.65899,                  0.712,                0.42042,                 1.3932,                  1.035,                 1.1383,               0.008218,               0.008218,               0.008218
                     92,                 1.0546,                0.50108,                0.86768,                0.74183,                0.67581,                0.72036,                0.42575,                 1.3985,                 1.0189,                 1.1382,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.0515,                0.49986,                0.87166,                 0.7372,                0.67032,                0.70375,                0.41348,                 1.3854,                 1.0213,                 1.1194,              0.0081784,              0.0081784,              0.0081784
                     94,                 1.0552,                0.50032,                0.86996,                0.74825,                0.65485,                   0.71,                0.41724,                 1.3932,                 1.0193,                 1.1367,              0.0081586,              0.0081586,              0.0081586
                     95,                 1.0362,                0.49118,                0.87019,                0.75433,                0.64524,                0.70504,                0.41441,                 1.3838,                 1.0271,                 1.1274,              0.0081388,              0.0081388,              0.0081388
                     96,                 1.0547,                0.50043,                0.87061,                 0.7282,                0.67375,                0.70798,                0.41171,                 1.3971,                 1.0455,                 1.1406,               0.008119,               0.008119,               0.008119
                     97,                 1.0367,                0.49369,                0.86722,                0.74748,                0.67189,                0.70573,                 0.4129,                 1.3782,                0.99067,                 1.1305,              0.0080992,              0.0080992,              0.0080992
                     98,                 1.0301,                0.48799,                0.86708,                0.77541,                0.64901,                0.71347,                0.41625,                 1.3769,                 1.0052,                  1.137,              0.0080794,              0.0080794,              0.0080794
                     99,                 1.0364,                0.49037,                0.86619,                0.75686,                0.65481,                0.70748,                0.41494,                 1.3849,                 1.0224,                 1.1498,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.0139,                0.47844,                 0.8639,                0.73669,                0.66956,                0.70465,                0.41562,                 1.3845,                 1.0204,                 1.1422,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.0084,                0.47863,                 0.8658,                0.74785,                0.64521,                0.69713,                 0.4084,                 1.3893,                 1.0648,                 1.1419,                0.00802,                0.00802,                0.00802
                    102,                 1.0165,                0.48429,                0.86424,                0.72641,                0.66603,                  0.704,                0.41606,                 1.3768,                 1.0417,                  1.135,              0.0080002,              0.0080002,              0.0080002
                    103,                0.99947,                0.47305,                0.86322,                0.74984,                0.66339,                0.71707,                 0.4224,                 1.3783,                 1.0202,                 1.1413,              0.0079804,              0.0079804,              0.0079804
                    104,                 1.0081,                0.47747,                0.86171,                0.73752,                0.67164,                0.71101,                0.41713,                 1.3822,                0.99996,                 1.1433,              0.0079606,              0.0079606,              0.0079606
                    105,                 1.0123,                0.48004,                0.86087,                0.75497,                0.65169,                0.71055,                0.42117,                 1.3759,                 1.0594,                 1.1358,              0.0079408,              0.0079408,              0.0079408
                    106,                0.99663,                0.47193,                0.86235,                0.74426,                0.66496,                0.70541,                0.41478,                 1.3856,                 1.0854,                  1.142,               0.007921,               0.007921,               0.007921
                    107,                 1.0027,                0.47565,                0.85901,                0.75797,                0.64544,                0.70384,                0.41436,                 1.3884,                 1.0842,                 1.1332,              0.0079012,              0.0079012,              0.0079012
                    108,                0.98021,                0.46328,                0.85682,                0.76353,                0.64937,                0.70166,                0.41204,                  1.387,                 1.1141,                 1.1366,              0.0078814,              0.0078814,              0.0078814
                    109,                0.98749,                0.46821,                0.85684,                0.75536,                0.66197,                0.70906,                0.41833,                   1.38,                 1.0655,                 1.1307,              0.0078616,              0.0078616,              0.0078616
                    110,                0.97955,                0.46316,                0.85818,                0.75608,                0.64722,                0.71264,                0.42007,                 1.3965,                 1.0709,                 1.1399,              0.0078418,              0.0078418,              0.0078418
                    111,                0.97485,                0.46007,                0.85437,                0.74073,                0.65592,                0.69554,                0.40629,                 1.3909,                 1.0971,                 1.1395,               0.007822,               0.007822,               0.007822
                    112,                0.96802,                0.45826,                0.85765,                0.73537,                0.67074,                0.70392,                0.41365,                 1.3843,                 1.0136,                 1.1406,              0.0078022,              0.0078022,              0.0078022
                    113,                0.96431,                 0.4579,                0.85191,                0.74253,                0.66988,                0.71256,                 0.4179,                 1.3926,                 1.0568,                 1.1388,              0.0077824,              0.0077824,              0.0077824
                    114,                0.95768,                0.45388,                0.85277,                0.73376,                0.68114,                0.71381,                0.41962,                 1.3928,                 1.0296,                 1.1337,              0.0077626,              0.0077626,              0.0077626
                    115,                 0.9605,                 0.4575,                0.85192,                0.72125,                  0.687,                0.71608,                0.42283,                 1.3763,                0.97922,                 1.1354,              0.0077428,              0.0077428,              0.0077428
                    116,                0.96259,                0.45625,                0.85122,                0.75622,                0.65745,                0.70859,                0.41944,                 1.3756,                  1.015,                 1.1328,               0.007723,               0.007723,               0.007723
                    117,                0.94662,                0.44866,                0.84989,                0.74387,                0.67736,                0.70986,                0.41765,                 1.3838,                 1.0387,                 1.1365,              0.0077032,              0.0077032,              0.0077032
                    118,                0.94594,                0.44723,                0.85067,                0.74374,                0.65083,                0.69915,                0.41707,                 1.3788,                 1.0459,                 1.1396,              0.0076834,              0.0076834,              0.0076834
                    119,                0.93402,                 0.4421,                0.85026,                0.73548,                0.67012,                 0.7143,                0.42018,                 1.3853,                  1.007,                 1.1429,              0.0076636,              0.0076636,              0.0076636
                    120,                0.93558,                0.44582,                0.85084,                 0.7465,                0.67307,                 0.7158,                0.42412,                 1.3831,                 0.9987,                 1.1516,              0.0076438,              0.0076438,              0.0076438
                    121,                 0.9267,                0.43857,                0.85104,                0.74058,                0.67342,                0.70441,                0.42017,                 1.3815,                 1.0155,                 1.1469,               0.007624,               0.007624,               0.007624
                    122,                0.92266,                0.43637,                0.85124,                 0.7305,                0.65906,                0.69478,                0.41061,                 1.3939,                 1.1064,                 1.1493,              0.0076042,              0.0076042,              0.0076042
                    123,                0.92969,                0.43992,                0.84778,                0.75252,                0.65815,                0.70295,                0.41858,                 1.3801,                  1.046,                 1.1402,              0.0075844,              0.0075844,              0.0075844
                    124,                0.93083,                0.44034,                0.84909,                0.75643,                0.66531,                0.71029,                0.41881,                  1.387,                 1.0391,                 1.1555,              0.0075646,              0.0075646,              0.0075646
                    125,                0.92624,                 0.4374,                0.84622,                0.75587,                0.64789,                0.70297,                0.41369,                 1.3828,                 1.0401,                 1.1505,              0.0075448,              0.0075448,              0.0075448
